Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1566079200.0 1000.0 NA 477 156 0 47 NA 595 250 0 91 NA 3154 1075 762 204 NA 2591 827 828 279
1566079200.0 10001.0 NA 216 657 81 0 NA 484 818 134 0 NA 993 1490 295 1977 NA 1154 1543 368 2009
1566079200.0 10024.3 NA 242 242 0 NA NA 475 350 0 NA NA 1272 581 244 NA NA 771 464 252 NA
1566079200.0 10024.5 NA 243 271 0 NA NA 476 376 0 NA NA 1255 675 302 NA NA 786 592 322 NA
1566079200.0 1020.0 NA 39 NA NA NA NA 107 NA NA NA NA 40 NA NA NA NA 78 NA NA NA
1566079200.0 10424.0 NA 236 679 0 NA NA 467 833 0 NA NA 1241 1687 2273 NA NA 1307 1248 2386 NA
1566079200.0 112.0 98 93 460 NA NA 190 369 550 NA NA 6946 675 578 NA NA 3569 534 507 NA NA
1566079200.0 113.0 98 92 458 NA NA 186 361 542 NA NA 7567 554 577 NA NA 3746 380 520 NA NA
1566079200.0 119.0 93 93 461 NA NA 182 362 554 NA NA 6393 613 704 NA NA 3180 456 635 NA NA
1566079200.0 120.0 60 84 454 NA NA 144 369 546 NA NA 1210 510 618 NA NA 967 456 621 NA NA
1566079200.0 1303.0 90 101 191 NA NA 156 386 289 NA NA 14204 716 853 NA NA 8386 684 512 NA NA
1566079200.0 1311.0 NA 97 573 0 58 NA 389 698 0 107 NA 796 637 658 65 NA 690 639 673 95
1566079200.0 1325.0 NA 109 582 0 75 NA 386 677 0 117 NA 645 1289 692 86 NA 792 2029 727 130
1566079200.0 1326.0 NA 107 566 0 NA NA 398 685 0 NA NA 561 996 555 NA NA 718 1767 566 NA
1566079200.0 135.1 376 0 98 NA NA 508 0 152 NA NA 1125 179 229 NA NA 637 192 265 NA NA
1566079200.0 135.12 370 0 98 NA NA 515 0 150 NA NA 923 172 255 NA NA 612 179 332 NA NA
1566079200.0 135.3 283 0 94 NA NA 515 0 149 NA NA 918 168 181 NA NA 722 202 255 NA NA
1566079200.0 135.7 361 0 94 NA NA 508 0 154 NA NA 1277 187 194 NA NA 777 238 248 NA NA
1566079200.0 136.737 NA 60 572 0 NA NA 134 724 0 NA NA 555 15523 972 NA NA 473 4616 997 NA
1566079200.0 136.739 NA 63 568 0 NA NA 129 723 0 NA NA 621 22546 1040 NA NA 553 12150 1204 NA
1566079200.0 136.744 NA 63 584 0 NA NA 130 759 0 NA NA 565 15586 906 NA NA 553 4509 934 NA
1566079200.0 136.748 NA 64 567 0 NA NA 136 705 0 NA NA 573 14534 916 NA NA 552 4293 937 NA
1566079200.0 136.749 NA 65 556 0 NA NA 132 679 0 NA NA 779 18376 830 NA NA 562 5922 848 NA
1566079200.0 136.75 NA 64 579 0 NA NA 132 733 0 NA NA 684 19119 988 NA NA 479 5447 1023 NA
1566079200.0 136.755 NA 64 579 0 NA NA 129 758 0 NA NA 620 21057 982 NA NA 478 12050 1113 NA
1566079200.0 136.758 NA 64 561 0 NA NA 132 695 0 NA NA 559 18463 923 NA NA 475 5245 957 NA
1566079200.0 136.759 NA 62 577 0 NA NA 131 736 0 NA NA 624 23569 731 NA NA 518 7313 745 NA
1566079200.0 136.765 NA 64 561 0 NA NA 128 694 0 NA NA 656 22523 954 NA NA 553 11425 1107 NA
1566079200.0 136.768 NA 64 563 0 NA NA 132 696 0 NA NA 788 22352 714 NA NA 562 6818 728 NA
1566079200.0 136.791 NA 201 538 0 NA NA 313 653 0 NA NA 1358 2350 1269 NA NA 1353 1317 1303 NA
1566079200.0 150.0 71 111 372 0 NA 123 375 522 0 NA 10240 808 802 497 NA 9414 842 981 514 NA
