Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1566079200.0 101.0 79 NA NA 150 NA NA 978 NA NA 1398 NA NA
1566079200.0 102.0 81 NA NA 150 NA NA 787 NA NA 1412 NA NA
1566079200.0 1020.0 NA 36 NA NA 105 NA NA 263 NA NA 565 NA
1566079200.0 1325.5 NA 192 0 NA 275 0 NA 4701 141 NA 6260 321
1566079200.0 1325.8 NA 164 0 NA 244 0 NA 2670 144 NA 4742 754
1566079200.0 135.8 143 NA NA 234 NA NA 474 NA NA 2385 NA NA
1566079200.0 136.7801 NA 104 0 NA 164 0 NA 462 227 NA 1339 803
1566079200.0 504.0 37 0 NA 80 0 NA 219 138 NA 787 451 NA
1566079200.0 505.0 42 0 NA 79 0 NA 216 137 NA 1386 351 NA
1566079200.0 506.0 40 0 NA 79 0 NA 209 142 NA 701 515 NA
1566079200.0 507.0 39 0 NA 78 0 NA 218 138 NA 710 342 NA
1566079200.0 508.0 36 0 NA 78 0 NA 195 142 NA 826 480 NA
1566079200.0 509.0 38 0 NA 77 0 NA 176 140 NA 612 424 NA
1566079200.0 510.0 42 0 NA 79 0 NA 295 147 NA 1154 850 NA
1566079200.0 514.0 23 38 0 56 85 0 478 211 137 1505 1274 350
1566079200.0 524.0 16 38 0 56 86 0 1484 217 140 2937 1073 511
1566079200.0 531.0 46 0 NA 187 0 NA 196 145 NA 520 594 NA
1566079200.0 534.0 40 0 NA 93 0 NA 234 133 NA 1670 336 NA
1566079200.0 541.0 48 0 NA 89 0 NA 193 142 NA 751 499 NA
1566079200.0 551.0 16 42 0 56 85 0 1287 223 138 1545 1282 353
1566079200.0 560.0 36 0 NA 79 0 NA 214 139 NA 753 471 NA
1566079200.0 561.0 36 0 NA 79 0 NA 207 141 NA 372 387 NA
1566079200.0 562.0 16 41 0 56 86 0 321 235 144 975 1436 849
