Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1566079200.0 101.0 78 NA NA NA 150 NA NA NA 1030 NA NA NA 2683 NA NA NA
1566079200.0 102.0 82 NA NA NA 150 NA NA NA 818 NA NA NA 1292 NA NA NA
1566079200.0 1020.0 NA 37 NA NA NA 104 NA NA NA 258 NA NA NA 1878 NA NA
1566079200.0 1030.0 NA 177 37 0 NA 315 86 0 NA 9074 277 73 NA 3625 472 198
1566079200.0 134.813 NA 184 62 0 NA 271 110 0 NA 983 261 266 NA 1121 1972 510
1566079200.0 135.4 323 0 140 NA 511 0 212 NA 1235 293 691 NA 2460 662 875 NA
1566079200.0 135.8 140 NA NA NA 234 NA NA NA 468 NA NA NA 942 NA NA NA
1566079200.0 136.733 NA 191 69 0 NA 286 118 0 NA 1074 564 263 NA 1345 896 436
1566079200.0 136.7611 NA 200 0 NA NA 287 0 NA NA 5657 158 NA NA 8637 463 NA
1566079200.0 136.7721 NA 193 0 NA NA 282 0 NA NA 5245 150 NA NA 8213 380 NA
1566079200.0 2.0 90 87 207 NA 190 359 302 NA 4032 641 1186 NA 2259 754 1329 NA
1566079200.0 2017.8 182 NA NA NA 274 NA NA NA 515 NA NA NA 779 NA NA NA
1566079200.0 503.0 42 0 NA NA 79 0 NA NA 222 139 NA NA 1015 374 NA NA
1566079200.0 504.0 35 0 NA NA 80 0 NA NA 218 139 NA NA 835 472 NA NA
1566079200.0 505.0 42 0 NA NA 79 0 NA NA 211 151 NA NA 845 1495 NA NA
1566079200.0 507.0 42 0 NA NA 78 0 NA NA 216 138 NA NA 788 374 NA NA
1566079200.0 509.0 38 0 NA NA 77 0 NA NA 179 137 NA NA 604 336 NA NA
1566079200.0 510.0 36 0 NA NA 79 0 NA NA 289 162 NA NA 716 2195 NA NA
1566079200.0 514.0 23 41 0 NA 56 86 0 NA 488 209 138 NA 2643 623 424 NA
1566079200.0 517.0 16 37 0 NA 56 86 0 NA 1567 216 138 NA 3773 424 352 NA
1566079200.0 523.0 16 51 0 NA 56 97 0 NA 1205 236 155 NA 2231 992 1275 NA
1566079200.0 524.0 16 37 0 NA 56 86 0 NA 1567 206 138 NA 3247 504 353 NA
1566079200.0 530.0 16 37 0 NA 56 87 0 NA 1483 220 140 NA 2547 919 370 NA
1566079200.0 534.0 41 0 NA NA 93 0 NA NA 235 149 NA NA 1522 698 NA NA
1566079200.0 541.0 43 0 NA NA 89 0 NA NA 206 141 NA NA 892 407 NA NA
1566079200.0 552.0 16 37 0 NA 56 86 0 NA 1660 254 193 NA 3842 699 1125 NA
1566079200.0 556.0 16 37 0 NA 56 86 0 NA 448 200 155 NA 1608 483 1258 NA
