Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1566079200.0 1.0 101 84 200 NA NA NA NA NA 186 367 298 NA NA NA NA NA 1765 496 1025 NA NA NA NA NA 1257 821 2133 NA NA NA NA NA
1566079200.0 1000.0 NA 396 157 0 50 NA NA NA NA 500 259 0 89 NA NA NA NA 2460 1187 566 243 NA NA NA NA 2662 1212 646 340 NA NA NA
1566079200.0 10003.0 NA 221 665 84 0 NA NA NA NA 493 797 134 0 NA NA NA NA 1326 2002 355 1670 NA NA NA NA 1951 2493 633 1804 NA NA NA
1566079200.0 10004.0 NA 206 664 93 0 NA NA NA NA 480 794 134 0 NA NA NA NA 1381 2161 380 1737 NA NA NA NA 2392 3924 588 2033 NA NA NA
1566079200.0 10005.0 NA 207 662 84 0 NA NA NA NA 487 820 134 0 NA NA NA NA 1301 1963 440 1629 NA NA NA NA 1816 3105 549 1725 NA NA NA
1566079200.0 10007.0 NA 197 661 103 0 NA NA NA NA 491 814 145 0 NA NA NA NA 1479 2183 399 1758 NA NA NA NA 1899 3982 628 2015 NA NA NA
1566079200.0 1001.0 NA 366 188 0 0 0 0 0 NA 455 231 0 0 0 0 0 NA 2105 433 63 75 208 111 214 NA 1794 534 171 166 248 156 293
1566079200.0 10024.0 NA 218 685 96 0 NA NA NA NA 484 850 148 0 NA NA NA NA 1602 2428 402 1769 NA NA NA NA 2131 3929 641 1987 NA NA NA
1566079200.0 10024.3 NA 224 245 0 NA NA NA NA NA 481 343 0 NA NA NA NA NA 1424 730 253 NA NA NA NA NA 1541 834 369 NA NA NA NA
1566079200.0 10024.4 NA 241 684 0 NA NA NA NA NA 483 848 0 NA NA NA NA NA 1404 2263 1688 NA NA NA NA NA 1975 3659 1892 NA NA NA NA
1566079200.0 10024.6 NA 242 676 0 NA NA NA NA NA 478 832 0 NA NA NA NA NA 1432 2174 1653 NA NA NA NA NA 1960 2084 1744 NA NA NA NA
1566079200.0 10025.0 NA 232 674 85 0 NA NA NA NA 494 831 135 0 NA NA NA NA 1425 2314 386 1744 NA NA NA NA 2140 3627 623 1874 NA NA NA
1566079200.0 10026.0 NA 217 693 79 0 NA NA NA NA 485 842 145 0 NA NA NA NA 1685 2620 454 1738 NA NA NA NA 2572 3724 1169 1864 NA NA NA
1566079200.0 10042.0 NA 229 621 101 0 NA NA NA NA 486 828 146 0 NA NA NA NA 1348 2213 366 1739 NA NA NA NA 1949 2523 540 1947 NA NA NA
1566079200.0 10059.0 NA 218 583 95 0 NA NA NA NA 487 838 145 0 NA NA NA NA 1732 3090 423 1748 NA NA NA NA 3028 4496 743 1853 NA NA NA
1566079200.0 101.0 89 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 952 NA NA NA NA NA NA NA 1713 NA NA NA NA NA NA NA
1566079200.0 1010.0 NA 27 71 0 NA NA NA NA NA 73 121 0 NA NA NA NA NA 107 222 97 NA NA NA NA NA 446 729 373 NA NA NA NA
1566079200.0 102.0 79 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 772 NA NA NA NA NA NA NA 1294 NA NA NA NA NA NA NA
1566079200.0 1020.0 NA 41 NA NA NA NA NA NA NA 113 NA NA NA NA NA NA NA 236 NA NA NA NA NA NA NA 589 NA NA NA NA NA NA
1566079200.0 103.0 44 0 0 NA NA NA NA NA 91 0 0 NA NA NA NA NA 646 202 1355 NA NA NA NA NA 877 265 2364 NA NA NA NA NA
1566079200.0 1030.0 NA 179 40 0 NA NA NA NA NA 323 85 0 NA NA NA NA NA 8233 230 61 NA NA NA NA NA 3559 361 154 NA NA NA NA
1566079200.0 10424.0 NA 220 678 0 NA NA NA NA NA 484 844 0 NA NA NA NA NA 1460 2217 1725 NA NA NA NA NA 1953 4136 2261 NA NA NA NA
1566079200.0 105.0 105 84 29 NA NA NA NA NA 186 360 66 NA NA NA NA NA 1678 568 121 NA NA NA NA NA 1595 1184 303 NA NA NA NA NA
1566079200.0 106.0 43 0 0 NA NA NA NA NA 91 0 0 NA NA NA NA NA 608 188 1174 NA NA NA NA NA 698 277 1520 NA NA NA NA NA
1566079200.0 107.0 94 91 288 NA NA NA NA NA 183 368 545 NA NA NA NA NA 3296 538 1972 NA NA NA NA NA 1884 551 4327 NA NA NA NA NA
1566079200.0 108.0 106 94 448 NA NA NA NA NA 194 368 534 NA NA NA NA NA 3759 481 1515 NA NA NA NA NA 2069 750 1619 NA NA NA NA NA
1566079200.0 10823.0 66 222 665 83 0 NA NA NA 125 478 813 134 0 NA NA NA 1532 1346 2168 416 1745 NA NA NA 1129 2160 2710 1162 1883 NA NA NA
1566079200.0 109.0 105 77 441 NA NA NA NA NA 191 360 542 NA NA NA NA NA 4014 598 1512 NA NA NA NA NA 2293 1048 1683 NA NA NA NA NA
1566079200.0 111.0 95 90 439 NA NA NA NA NA 185 368 536 NA NA NA NA NA 1640 394 1371 NA NA NA NA NA 1416 610 1615 NA NA NA NA NA
1566079200.0 112.0 103 92 421 NA NA NA NA NA 192 368 544 NA NA NA NA NA 2691 454 1465 NA NA NA NA NA 1846 480 1773 NA NA NA NA NA
1566079200.0 114.0 92 83 329 NA NA NA NA NA 183 368 554 NA NA NA NA NA 3196 553 1766 NA NA NA NA NA 1910 676 2759 NA NA NA NA NA
1566079200.0 115.0 103 95 441 NA NA NA NA NA 188 360 554 NA NA NA NA NA 3036 462 1478 NA NA NA NA NA 1907 670 1870 NA NA NA NA NA
1566079200.0 116.0 93 87 325 NA NA NA NA NA 180 368 538 NA NA NA NA NA 2839 648 1595 NA NA NA NA NA 1775 1143 2770 NA NA NA NA NA
1566079200.0 11623.0 61 223 451 82 0 NA NA NA 111 480 831 134 0 NA NA NA 1508 1458 2683 396 1845 NA NA NA 1749 2447 4708 801 2057 NA NA NA
1566079200.0 11625.0 66 236 679 87 0 NA NA NA 115 480 846 135 0 NA NA NA 2774 1616 2563 408 1852 NA NA NA 1440 2703 2697 587 2063 NA NA NA
1566079200.0 118.0 96 93 446 NA NA NA NA NA 189 360 537 NA NA NA NA NA 3384 468 1502 NA NA NA NA NA 1886 485 1743 NA NA NA NA NA
1566079200.0 120.0 60 84 431 NA NA NA NA NA 138 360 536 NA NA NA NA NA 697 393 1308 NA NA NA NA NA 598 624 1478 NA NA NA NA NA
1566079200.0 121.0 104 93 449 NA NA NA NA NA 193 360 544 NA NA NA NA NA 3431 463 1499 NA NA NA NA NA 2048 512 1528 NA NA NA NA NA
1566079200.0 125.0 97 81 437 NA NA NA NA NA 189 360 538 NA NA NA NA NA 2781 665 1530 NA NA NA NA NA 1776 1298 1853 NA NA NA NA NA
1566079200.0 127.0 64 82 425 NA NA NA NA NA 126 368 533 NA NA NA NA NA 875 465 1513 NA NA NA NA NA 941 482 2016 NA NA NA NA NA
1566079200.0 128.0 61 83 425 NA NA NA NA NA 116 378 529 NA NA NA NA NA 440 428 1300 NA NA NA NA NA 827 662 1574 NA NA NA NA NA
1566079200.0 129.0 64 81 422 NA NA NA NA NA 131 360 531 NA NA NA NA NA 709 468 1485 NA NA NA NA NA 1018 610 1866 NA NA NA NA NA
1566079200.0 130.0 65 71 381 NA NA NA NA NA 133 368 542 NA NA NA NA NA 808 542 1637 NA NA NA NA NA 975 922 2687 NA NA NA NA NA
1566079200.0 1302.0 105 110 231 NA NA NA NA NA 168 377 355 NA NA NA NA NA 3548 566 1163 NA NA NA NA NA 1724 885 1285 NA NA NA NA NA
1566079200.0 1303.0 93 108 243 NA NA NA NA NA 158 370 348 NA NA NA NA NA 5973 549 1264 NA NA NA NA NA 3038 764 1263 NA NA NA NA NA
1566079200.0 1307.0 NA 67 187 46 0 NA NA NA NA 376 272 87 0 NA NA NA NA 678 586 142 221 NA NA NA NA 1323 863 310 322 NA NA NA
1566079200.0 1308.0 NA 80 180 45 0 NA NA NA NA 384 259 86 0 NA NA NA NA 549 510 132 220 NA NA NA NA 858 782 220 312 NA NA NA
1566079200.0 131.0 70 88 435 NA NA NA NA NA 143 360 538 NA NA NA NA NA 1235 407 1337 NA NA NA NA NA 1116 469 1506 NA NA NA NA NA
1566079200.0 1312.0 NA 107 561 0 NA NA NA NA NA 385 677 0 NA NA NA NA NA 577 1588 562 NA NA NA NA NA 914 1666 646 NA NA NA NA
1566079200.0 1313.0 NA 112 569 0 NA NA NA NA NA 386 694 0 NA NA NA NA NA 428 1880 544 NA NA NA NA NA 771 1782 607 NA NA NA NA
1566079200.0 1314.0 NA 105 527 0 NA NA NA NA NA 386 673 0 NA NA NA NA NA 555 1716 562 NA NA NA NA NA 1213 2979 650 NA NA NA NA
1566079200.0 1316.0 NA 102 558 0 NA NA NA NA NA 385 683 0 NA NA NA NA NA 429 1459 543 NA NA NA NA NA 1092 1729 614 NA NA NA NA
1566079200.0 1317.0 NA 100 554 0 NA NA NA NA NA 396 680 0 NA NA NA NA NA 418 1451 588 NA NA NA NA NA 600 1656 2100 NA NA NA NA
