Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1566205200.0 1.0 91 101 214 NA NA NA 188 583 322 NA NA NA 1563 398 1318 NA NA NA 1206 449 1846 NA NA NA
1566205200.0 1000.0 NA 312 191 0 60 NA NA 446 275 0 100 NA NA 2674 1160 707 266 NA NA 1669 1391 778 435 NA
1566205200.0 10001.0 NA 160 369 0 75 NA NA 607 524 0 133 NA NA 786 1954 1192 298 NA NA 1167 3139 1444 670 NA
1566205200.0 10002.0 NA 160 367 0 76 NA NA 562 543 0 135 NA NA 752 1987 1299 264 NA NA 838 2472 1476 488 NA
1566205200.0 10003.0 NA 170 369 0 76 NA NA 562 563 0 132 NA NA 895 1845 1223 503 NA NA 769 2204 1365 839 NA
1566205200.0 10004.0 NA 171 369 0 78 NA NA 607 565 0 126 NA NA 566 1842 1209 344 NA NA 427 2259 1438 532 NA
1566205200.0 10005.0 NA 167 359 0 80 NA NA 562 563 0 135 NA NA 770 2182 1416 280 NA NA 583 2666 1894 538 NA
1566205200.0 10006.0 NA 167 359 0 76 NA NA 608 544 0 134 NA NA 611 2146 1248 253 NA NA 501 3994 1413 598 NA
1566205200.0 10007.0 NA 168 370 0 78 NA NA 562 552 0 133 NA NA 596 1891 1364 338 NA NA 534 2235 1551 531 NA
1566205200.0 10008.0 NA 176 366 0 76 NA NA 605 520 0 135 NA NA 600 2272 1166 256 NA NA 428 4202 1346 624 NA
1566205200.0 10009.0 NA 161 371 0 77 NA NA 608 534 0 133 NA NA 857 2001 1283 620 NA NA 818 2550 1609 1020 NA
1566205200.0 1001.2 NA 373 133 0 NA NA NA 600 202 0 NA NA NA 23952 2575 261 NA NA NA 15191 2100 434 NA NA
1566205200.0 1002.0 NA 310 96 NA NA NA NA 445 137 NA NA NA NA 2986 471 NA NA NA NA 2490 831 NA NA NA
1566205200.0 10023.0 NA 167 350 0 75 NA NA 608 532 0 127 NA NA 659 2433 1143 351 NA NA 619 3401 1354 616 NA
1566205200.0 10024.0 NA 174 373 0 78 NA NA 563 575 0 138 NA NA 1048 2352 1360 302 NA NA 1062 2787 1632 654 NA
1566205200.0 10024.1 NA 169 201 0 NA NA NA 608 342 0 NA NA NA 883 728 315 NA NA NA 708 1005 402 NA NA
1566205200.0 10024.3 NA 169 193 0 NA NA NA 603 341 0 NA NA NA 902 707 289 NA NA NA 766 995 377 NA NA
1566205200.0 10024.5 NA 175 154 0 NA NA NA 608 234 0 NA NA NA 743 455 131 NA NA NA 763 710 199 NA NA
1566205200.0 10025.0 NA 168 376 0 76 NA NA 608 567 0 131 NA NA 721 1928 1353 530 NA NA 617 2227 1800 840 NA
1566205200.0 10026.0 NA 179 395 0 83 NA NA 561 576 0 129 NA NA 1044 2761 1312 484 NA NA 1719 3255 1670 729 NA
1566205200.0 1003.0 NA 260 0 NA NA NA NA 372 0 NA NA NA NA 2793 550 NA NA NA NA 2643 702 NA NA NA
1566205200.0 10042.0 NA 169 367 0 77 NA NA 474 547 0 129 NA NA 2017 2431 1192 329 NA NA 2234 3763 1314 946 NA
1566205200.0 10059.0 NA 178 386 0 77 NA NA 562 549 0 136 NA NA 1026 2969 1269 282 NA NA 1103 3158 1665 797 NA
1566205200.0 10071.0 NA 172 380 0 74 NA NA 606 524 0 133 NA NA 842 2143 1259 295 NA NA 863 2317 1509 549 NA
1566205200.0 101.0 93 NA NA NA NA NA 161 NA NA NA NA NA 760 NA NA NA NA NA 1103 NA NA NA NA NA
1566205200.0 1010.0 NA 32 48 0 NA NA NA 89 99 0 NA NA NA 120 256 148 NA NA NA 329 598 584 NA NA
1566205200.0 102.0 90 NA NA NA NA NA 161 NA NA NA NA NA 735 NA NA NA NA NA 1113 NA NA NA NA NA
1566205200.0 10225.0 NA 323 626 0 NA NA NA 578 845 0 NA NA NA 4245 4001 1129 NA NA NA 3676 3942 1223 NA NA
1566205200.0 1040.0 NA 353 32 0 NA NA NA 570 76 0 NA NA NA 11400 125 113 NA NA NA 4215 288 186 NA NA
1566205200.0 1040.1 NA 81 28 0 NA NA NA 153 76 0 NA NA NA 452 117 123 NA NA NA 842 624 510 NA NA
1566205200.0 105.0 76 102 41 NA NA NA 194 583 78 NA NA NA 1293 434 105 NA NA NA 1067 462 178 NA NA NA
1566205200.0 106.0 49 0 0 NA NA NA 108 0 0 NA NA NA 906 313 1507 NA NA NA 1279 459 1971 NA NA NA
1566205200.0 107.0 111 107 290 NA NA NA 209 581 433 NA NA NA 2579 821 2274 NA NA NA 1583 827 2811 NA NA NA
1566205200.0 108.0 98 98 282 NA NA NA 218 539 421 NA NA NA 6679 961 3755 NA NA NA 3805 1096 5326 NA NA NA
1566205200.0 10824.1 NA 260 201 0 NA NA NA 610 336 0 NA NA NA 3226 1642 675 NA NA NA 4228 2254 1062 NA NA
1566205200.0 10824.5 NA 261 150 0 NA NA NA 564 253 0 NA NA NA 3288 1177 288 NA NA NA 4280 2168 533 NA NA
1566205200.0 10824.8 NA 266 415 0 95 196 NA 633 700 0 161 272 NA 3154 4542 2133 681 1252 NA 2594 5027 2172 967 1301
1566205200.0 109.0 94 98 282 NA NA NA 215 580 409 NA NA NA 5803 1042 3498 NA NA NA 2795 950 4165 NA NA NA
1566205200.0 11.0 NA 114 277 0 67 NA NA 587 422 0 118 NA NA 1738 1631 604 308 NA NA 1084 1575 843 369 NA
1566205200.0 110.0 70 103 283 NA NA NA 137 584 420 NA NA NA 1177 429 1693 NA NA NA 1246 554 2041 NA NA NA
1566205200.0 1102.0 NA 131 315 170 123 NA NA 546 440 250 163 NA NA 2415 4038 1966 297 NA NA 1438 2658 2361 281 NA
1566205200.0 111.0 99 106 287 NA NA NA 190 582 426 NA NA NA 1362 500 2180 NA NA NA 1292 681 2861 NA NA NA
1566205200.0 112.0 106 106 284 NA NA NA 210 582 424 NA NA NA 2646 948 2342 NA NA NA 1939 948 2875 NA NA NA
1566205200.0 11224.0 NA 275 400 0 NA NA NA 629 604 0 NA NA NA 2133 2594 2207 NA NA NA 3057 3845 2414 NA NA
1566205200.0 11224.6 NA 271 407 0 NA NA NA 597 593 0 NA NA NA 2046 2450 2047 NA NA NA 2908 3533 2555 NA NA
1566205200.0 114.0 91 101 269 NA NA NA 213 538 427 NA NA NA 3874 961 3606 NA NA NA 2924 602 4824 NA NA NA
1566205200.0 115.0 90 92 278 NA NA NA 207 539 428 NA NA NA 3925 1031 3347 NA NA NA 2853 893 4020 NA NA NA
1566205200.0 116.0 91 96 282 NA NA NA 216 582 420 NA NA NA 5842 968 3645 NA NA NA 3050 994 4644 NA NA NA
1566205200.0 11623.0 68 164 367 0 75 NA 127 558 534 0 133 NA 1604 1040 2136 1239 615 NA 1736 1155 2985 1386 1044 NA
1566205200.0 11624.0 73 184 378 0 76 NA 133 515 553 0 129 NA 2994 1117 2906 1270 391 NA 1632 1102 3712 1475 752 NA
1566205200.0 11625.0 74 168 353 0 74 NA 127 604 548 0 134 NA 1958 820 2242 1282 416 NA 1175 743 3014 1748 677 NA
1566205200.0 11626.0 82 178 376 0 73 NA 136 603 567 0 128 NA 4738 890 2541 1238 483 NA 2334 703 3135 1679 1025 NA
1566205200.0 11642.0 66 165 363 0 81 NA 127 515 566 0 125 NA 1375 958 2214 1298 289 NA 1299 1184 3661 1804 594 NA
1566205200.0 117.0 109 100 285 NA NA NA 224 582 439 NA NA NA 5660 1094 3491 NA NA NA 3029 937 4221 NA NA NA
1566205200.0 119.0 95 106 290 NA NA NA 209 537 437 NA NA NA 3264 549 2332 NA NA NA 2411 552 2872 NA NA NA
1566205200.0 120.0 63 101 263 NA NA NA 134 537 415 NA NA NA 1679 894 3243 NA NA NA 1485 628 4166 NA NA NA
1566205200.0 121.0 103 103 278 NA NA NA 219 583 434 NA NA NA 5367 1118 3669 NA NA NA 3521 778 4635 NA NA NA
1566205200.0 122.0 50 0 0 NA NA NA 108 0 0 NA NA NA 895 286 1628 NA NA NA 1232 404 2310 NA NA NA
1566205200.0 123.1 328 NA NA NA NA NA 687 NA NA NA NA NA 1046 NA NA NA NA NA 1002 NA NA NA NA NA
1566205200.0 123.2 281 NA NA NA NA NA 683 NA NA NA NA NA 1290 NA NA NA NA NA 1485 NA NA NA NA NA
1566205200.0 123.3 236 NA NA NA NA NA 721 NA NA NA NA NA 878 NA NA NA NA NA 1180 NA NA NA NA NA
1566205200.0 124.1 297 NA NA NA NA NA 687 NA NA NA NA NA 947 NA NA NA NA NA 937 NA NA NA NA NA
1566205200.0 124.2 290 NA NA NA NA NA 719 NA NA NA NA NA 1114 NA NA NA NA NA 1509 NA NA NA NA NA
1566205200.0 124.4 302 NA NA NA NA NA 642 NA NA NA NA NA 1092 NA NA NA NA NA 1377 NA NA NA NA NA
1566205200.0 124.5 310 NA NA NA NA NA 678 NA NA NA NA NA 910 NA NA NA NA NA 1197 NA NA NA NA NA
1566205200.0 124.6 228 NA NA NA NA NA 718 NA NA NA NA NA 1026 NA NA NA NA NA 956 NA NA NA NA NA
1566205200.0 125.0 94 99 277 NA NA NA 213 552 433 NA NA NA 3713 1179 3579 NA NA NA 3085 1117 5060 NA NA NA
1566205200.0 126.0 64 91 273 NA NA NA 142 537 402 NA NA NA 2356 1067 3132 NA NA NA 2223 936 3680 NA NA NA
1566205200.0 127.0 62 96 277 NA NA NA 137 584 421 NA NA NA 1660 954 3352 NA NA NA 1980 910 4241 NA NA NA
1566205200.0 128.0 66 98 260 NA NA NA 132 538 412 NA NA NA 1692 957 3221 NA NA NA 1478 710 4337 NA NA NA
1566205200.0 129.0 62 96 259 NA NA NA 136 582 424 NA NA NA 1533 960 3134 NA NA NA 1447 871 3865 NA NA NA
1566205200.0 13.0 NA 103 285 0 NA NA NA 514 427 0 NA NA NA 1033 4807 1116 NA NA NA 1532 4777 1754 NA NA
1566205200.0 130.0 63 91 269 NA NA NA 139 507 423 NA NA NA 1134 1146 3141 NA NA NA 1683 975 3787 NA NA NA
1566205200.0 1301.0 91 142 228 NA NA NA 166 542 351 NA NA NA 2013 594 1321 NA NA NA 1433 775 1847 NA NA NA
1566205200.0 1301.17 69 150 201 NA NA NA 141 499 386 NA NA NA 3183 1221 2527 NA NA NA 2506 1092 3402 NA NA NA
1566205200.0 1302.0 86 138 239 NA NA NA 175 590 343 NA NA NA 2942 673 1349 NA NA NA 1837 688 1553 NA NA NA
