Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1560848400.0 1.0 63 85 189 NA NA 118 121 232 NA NA 1952 705 2012 NA NA 2004 943 2125 NA NA
1560848400.0 10006.0 NA 117 319 0 75 NA 195 380 0 112 NA 1233 3674 2764 572 NA 1514 3871 2821 719
1560848400.0 1001.2 NA 309 125 0 NA NA 400 165 0 NA NA 35040 5231 312 NA NA 36929 5577 350 NA
1560848400.0 1002.0 NA 269 74 NA NA NA 360 116 NA NA NA 5895 1193 NA NA NA 6084 1244 NA NA
1560848400.0 10024.1 NA 118 167 NA NA NA 197 213 NA NA NA 1066 1774 NA NA NA 1172 2363 NA NA
1560848400.0 10024.2 NA 117 332 0 NA NA 197 388 0 NA NA 1229 3356 2118 NA NA 1328 3884 2158 NA
1560848400.0 10024.3 NA 122 175 0 NA NA 197 215 0 NA NA 1222 1917 0 NA NA 1331 2166 0 NA
1560848400.0 10024.4 NA 119 333 0 NA NA 197 386 0 NA NA 1320 3402 2118 NA NA 1457 3609 2157 NA
1560848400.0 10024.5 NA 117 88 0 NA NA 197 123 0 NA NA 1078 1120 344 NA NA 1179 1264 547 NA
1560848400.0 1003.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 101.0 93 NA NA NA NA 147 NA NA NA NA 1720 NA NA NA NA 1800 NA NA NA NA
1560848400.0 1010.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 102.0 98 NA NA NA NA 148 NA NA NA NA 1505 NA NA NA NA 1616 NA NA NA NA
1560848400.0 1020.0 NA 41 32 0 41 NA 115 62 0 116 NA 539 188 162 525 NA 673 221 244 631
1560848400.0 10224.0 NA 93 NA NA NA NA 177 NA NA NA NA 687 NA NA NA NA 871 NA NA NA
1560848400.0 103.0 48 0 0 NA NA 93 0 0 NA NA 778 416 3768 NA NA 1008 530 4191 NA NA
1560848400.0 1030.0 NA 152 53 0 0 NA 235 82 0 0 NA 14758 524 116 129 NA 14960 573 192 452
1560848400.0 1040.0 NA 283 36 0 NA NA 369 64 0 NA NA 30095 234 269 NA NA 30524 263 288 NA
1560848400.0 1040.1 NA 66 36 0 NA NA 146 63 0 NA NA 686 271 226 NA NA 820 320 278 NA
1560848400.0 10424.0 NA 112 324 0 NA NA 194 387 0 NA NA 1269 5054 2668 NA NA 1359 5334 2821 NA
1560848400.0 105.0 63 90 32 NA NA 118 124 65 NA NA 2174 743 219 NA NA 2496 812 245 NA NA
1560848400.0 106.0 48 0 NA NA NA 93 0 NA NA NA 1004 0 NA NA NA 1120 0 NA NA NA
1560848400.0 107.0 64 89 0 NA NA 120 124 0 NA NA 4800 875 0 NA NA 5258 1107 0 NA NA
1560848400.0 108.0 64 90 267 NA NA 121 125 321 NA NA 5450 954 3053 NA NA 5593 1064 3155 NA NA
1560848400.0 10824.1 NA 213 201 0 NA NA 302 242 0 NA NA 3884 2341 1057 NA NA 4203 2557 1150 NA
1560848400.0 10824.5 NA 212 106 0 NA NA 302 143 0 NA NA 3713 1246 303 NA NA 3955 1343 334 NA
1560848400.0 109.0 63 92 260 NA NA 120 125 321 NA NA 5355 910 4456 NA NA 5831 1168 4836 NA NA
1560848400.0 11.0 NA 98 276 0 67 NA 176 339 0 104 NA 4147 2691 1470 455 NA 4263 2890 1516 533
1560848400.0 110.0 57 88 261 NA NA 101 122 315 NA NA 954 832 3523 NA NA 1008 907 3860 NA NA
1560848400.0 111.0 64 90 0 NA NA 119 123 0 NA NA 2591 764 0 NA NA 2747 996 0 NA NA
1560848400.0 112.0 61 90 0 NA NA 119 123 0 NA NA 3102 853 0 NA NA 3195 1030 0 NA NA
1560848400.0 113.0 63 91 264 NA NA 120 124 317 NA NA 3907 901 4089 NA NA 4025 972 4344 NA NA
1560848400.0 115.0 63 87 261 NA NA 120 125 318 NA NA 5035 1024 3675 NA NA 5256 1161 3807 NA NA
1560848400.0 116.0 63 89 260 NA NA 120 124 317 NA NA 5513 887 4539 NA NA 5942 956 4844 NA NA
1560848400.0 117.0 63 91 265 NA NA 121 125 318 NA NA 5423 897 3673 NA NA 5604 1023 3835 NA NA
1560848400.0 118.0 65 85 268 NA NA 121 125 322 NA NA 7133 996 3621 NA NA 7805 1062 4465 NA NA
1560848400.0 119.0 62 87 260 NA NA 119 123 316 NA NA 3809 868 3231 NA NA 4079 1046 3374 NA NA
1560848400.0 120.0 56 81 259 NA NA 107 121 314 NA NA 905 854 4034 NA NA 964 914 4517 NA NA
1560848400.0 12024.0 NA 119 333 0 NA NA 197 389 0 NA NA 1348 3696 2337 NA NA 1684 3827 2594 NA
1560848400.0 121.0 64 92 269 NA NA 120 125 321 NA NA 6225 897 3028 NA NA 6366 962 3202 NA NA
1560848400.0 122.0 62 88 256 NA NA 114 123 316 NA NA 1114 720 3147 NA NA 1244 828 3550 NA NA
1560848400.0 123.1 253 NA NA NA NA 307 NA NA NA NA 1783 NA NA NA NA 1926 NA NA NA NA
1560848400.0 123.2 248 NA NA NA NA 307 NA NA NA NA 2417 NA NA NA NA 2749 NA NA NA NA
1560848400.0 123.3 256 NA NA NA NA 307 NA NA NA NA 1688 NA NA NA NA 1884 NA NA NA NA
1560848400.0 124.2 257 NA NA NA NA 307 NA NA NA NA 1751 NA NA NA NA 1878 NA NA NA NA
1560848400.0 125.0 63 89 262 NA NA 120 125 317 NA NA 4617 874 4391 NA NA 5057 942 4868 NA NA
1560848400.0 126.0 55 87 255 NA NA 101 121 315 NA NA 1645 866 3523 NA NA 1691 941 3836 NA NA
1560848400.0 127.0 55 83 0 NA NA 101 121 0 NA NA 2050 871 3489 NA NA 2331 957 3971 NA NA
1560848400.0 128.0 56 87 256 NA NA 100 123 314 NA NA 857 838 3171 NA NA 1004 910 3495 NA NA
1560848400.0 129.0 57 0 NA NA NA 101 0 NA NA NA 1047 0 NA NA NA 1711 0 NA NA NA
1560848400.0 13.0 NA 91 265 0 NA NA 169 323 0 NA NA 839 3686 1364 NA NA 990 4222 1420 NA
1560848400.0 130.0 55 89 261 NA NA 101 121 315 NA NA 1059 877 3143 NA NA 1121 1080 3450 NA NA
1560848400.0 1301.0 60 97 195 NA NA 112 131 241 NA NA 2010 814 2084 NA NA 2081 907 2267 NA NA
1560848400.0 1301.17 59 119 NA NA NA 105 152 NA NA NA 1764 860 NA NA NA 1858 950 NA NA NA
1560848400.0 1302.0 63 98 199 NA NA 114 133 246 NA NA 7214 757 2582 NA NA 7667 812 3019 NA NA
1560848400.0 1302.17 60 116 226 NA NA 107 153 267 NA NA 6949 998 2080 NA NA 7356 1074 2214 NA NA
1560848400.0 1302.18 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1560848400.0 1303.0 65 99 205 NA NA 117 134 251 NA NA 11850 647 3406 NA NA 12177 710 3555 NA NA
1560848400.0 1303.17 61 118 224 NA NA 111 154 269 NA NA 15357 808 2621 NA NA 15769 885 2723 NA NA
1560848400.0 1304.18 57 171 194 143 NA 106 218 237 183 NA 4856 2587 1796 1361 NA 5273 2698 1892 1532 NA
1560848400.0 1304.181 57 173 192 144 NA 106 218 237 184 NA 4811 2542 1662 1606 NA 5189 2631 1905 1797 NA
1560848400.0 1306.0 NA 82 NA NA NA NA 161 NA NA NA NA 569 NA NA NA NA 1065 NA NA NA
1560848400.0 131.0 56 89 0 NA NA 102 123 0 NA NA 1694 883 0 NA NA 1956 953 0 NA NA
1560848400.0 1310.0 NA 98 300 0 NA NA 178 359 0 NA NA 1138 3806 1152 NA NA 1251 4062 1200 NA
1560848400.0 1312.0 NA 97 298 0 NA NA 177 359 0 NA NA 1063 3409 1222 NA NA 1195 3564 1271 NA
1560848400.0 1313.0 NA 102 306 0 NA NA 179 363 0 NA NA 1000 3502 1263 NA NA 1174 3628 1298 NA
1560848400.0 1314.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 1315.0 NA 98 295 0 NA NA 173 352 0 NA NA 996 2964 1580 NA NA 1231 3120 1649 NA
1560848400.0 1316.0 NA 73 NA NA NA NA 154 NA NA NA NA 465 NA NA NA NA 840 NA NA NA
1560848400.0 1317.0 NA 68 NA NA NA NA 149 NA NA NA NA 423 NA NA NA NA 720 NA NA NA
1560848400.0 1318.0 NA 91 299 0 NA NA 173 352 0 NA NA 1092 3343 1512 NA NA 1429 3591 1569 NA
1560848400.0 1319.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 132.0 62 92 260 NA NA 117 126 319 NA NA 5538 875 4545 NA NA 6002 973 5140 NA NA
1560848400.0 1320.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1560848400.0 1321.0 NA 92 294 0 NA NA 174 353 0 NA NA 1136 3917 1643 NA NA 1617 4083 1709 NA
1560848400.0 1322.0 NA 95 296 0 NA NA 175 355 0 NA NA 1042 3415 1119 NA NA 1280 3538 1227 NA
1560848400.0 1323.0 NA 100 287 0 NA NA 172 346 0 NA NA 875 3202 1147 NA NA 1014 3355 1186 NA
