Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1566032400.0 101.0 93 NA NA NA 147 NA NA NA 3789 NA NA NA 3982 NA NA NA
1566032400.0 1325.7 NA 202 0 NA NA 304 0 NA NA 15705 606 NA NA 15996 691 NA
1566032400.0 1325.8 NA 200 0 NA NA 304 0 NA NA 14532 574 NA NA 14809 671 NA
1566032400.0 1329.1 NA 193 0 NA NA 290 0 NA NA 14164 570 NA NA 14534 627 NA
1566032400.0 135.8 95 NA NA NA 137 NA NA NA 1503 NA NA NA 1957 NA NA NA
1566032400.0 136.748 NA 76 275 0 NA 144 330 0 NA 3078 60185 3013 NA 3544 60468 3096
1566032400.0 136.754 NA 81 290 0 NA 147 344 0 NA 3262 52435 3017 NA 3737 52733 3094
1566032400.0 136.755 NA 75 NA NA NA 145 NA NA NA 3210 NA NA NA 3678 NA NA
1566032400.0 136.7611 NA 166 0 NA NA 252 0 NA NA 14101 621 NA NA 14480 679 NA
1566032400.0 136.77 NA 75 309 0 NA 141 364 0 NA 2852 61096 2932 NA 3322 61360 3020
1566032400.0 136.7722 NA 134 0 NA NA 215 0 NA NA 14097 541 NA NA 14371 600 NA
1566032400.0 136.776 NA 77 281 0 NA 142 336 0 NA 3111 53140 2938 NA 3585 53409 3007
1566032400.0 136.843 NA 80 NA NA NA 149 NA NA NA 2699 NA NA NA 3167 NA NA
1566032400.0 136.845 NA 82 310 0 NA 150 369 0 NA 3003 68967 3840 NA 3467 69267 3931
1566032400.0 136.846 NA 83 310 0 NA 151 361 0 NA 3031 65242 4000 NA 3482 65509 4088
1566032400.0 136.871 NA 81 NA NA NA 150 NA NA NA 2570 NA NA NA 3031 NA NA
1566032400.0 137.8 NA 76 NA NA NA 145 NA NA NA 2244 NA NA NA 2475 NA NA
1566032400.0 140.53 NA 220 0 NA NA 305 0 NA NA 15509 820 NA NA 15982 884 NA
1566032400.0 20661.97 228 NA NA NA 315 NA NA NA 18565 NA NA NA 18793 NA NA NA
1566032400.0 250199.18 199 NA NA NA 289 NA NA NA 20287 NA NA NA 20488 NA NA NA
1566032400.0 250399.17 131 NA NA NA 215 NA NA NA 4794 NA NA NA 5078 NA NA NA
1566032400.0 250399.18 135 NA NA NA 218 NA NA NA 5054 NA NA NA 5372 NA NA NA
1566032400.0 500199.0 124 NA NA NA 205 NA NA NA 7320 NA NA NA 7549 NA NA NA
1566032400.0 511.0 43 0 NA NA 77 0 NA NA 59076 533 NA NA 59418 648 NA NA
