Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1566079200.0 1001.0 NA 257 113 0 0 0 0 0 0 NA 402 177 0 0 0 0 0 0 NA 2677 727 146 107 163 302 157 320 NA 5662 2591 769 576 895 756 925 928
1566079200.0 101.0 96 NA NA NA NA NA NA NA NA 161 NA NA NA NA NA NA NA NA 963 NA NA NA NA NA NA NA NA 2090 NA NA NA NA NA NA NA NA
1566079200.0 1010.0 NA 28 44 0 NA NA NA NA NA NA 85 100 0 NA NA NA NA NA NA 153 217 146 NA NA NA NA NA NA 833 516 296 NA NA NA NA NA
1566079200.0 102.0 94 NA NA NA NA NA NA NA NA 161 NA NA NA NA NA NA NA NA 849 NA NA NA NA NA NA NA NA 1939 NA NA NA NA NA NA NA NA
1566079200.0 1020.0 NA 67 24 0 72 NA NA NA NA NA 139 72 0 146 NA NA NA NA NA 284 139 93 264 NA NA NA NA NA 1364 1011 469 1005 NA NA NA NA
1566079200.0 1040.1 NA 77 35 0 NA NA NA NA NA NA 142 76 0 NA NA NA NA NA NA 456 147 139 NA NA NA NA NA NA 990 475 423 NA NA NA NA NA
1566079200.0 106.0 47 0 0 NA NA NA NA NA NA 108 0 0 NA NA NA NA NA NA 1197 238 1731 NA NA NA NA NA NA 2579 575 2430 NA NA NA NA NA NA
1566079200.0 10824.5 NA 271 168 0 NA NA NA NA NA NA 695 252 0 NA NA NA NA NA NA 2147 653 148 NA NA NA NA NA NA 3667 1431 245 NA NA NA NA NA
1566079200.0 124.1 289 NA NA NA NA NA NA NA NA 677 NA NA NA NA NA NA NA NA 1148 NA NA NA NA NA NA NA NA 2185 NA NA NA NA NA NA NA NA
1566079200.0 124.5 286 NA NA NA NA NA NA NA NA 688 NA NA NA NA NA NA NA NA 1142 NA NA NA NA NA NA NA NA 2238 NA NA NA NA NA NA NA NA
1566079200.0 124.6 224 NA NA NA NA NA NA NA NA 696 NA NA NA NA NA NA NA NA 1127 NA NA NA NA NA NA NA NA 2046 NA NA NA NA NA NA NA NA
1566079200.0 1325.5 NA 164 0 NA NA NA NA NA NA NA 273 0 NA NA NA NA NA NA NA 5093 199 NA NA NA NA NA NA NA 9342 1104 NA NA NA NA NA NA
1566079200.0 1325.6 NA 190 NA NA NA NA NA NA NA NA 332 NA NA NA NA NA NA NA NA 5050 NA NA NA NA NA NA NA NA 9063 NA NA NA NA NA NA NA
1566079200.0 1325.8 NA 203 0 NA NA NA NA NA NA NA 319 0 NA NA NA NA NA NA NA 5750 178 NA NA NA NA NA NA NA 6642 1056 NA NA NA NA NA NA
1566079200.0 1329.1 NA 180 0 NA NA NA NA NA NA NA 300 0 NA NA NA NA NA NA NA 6243 185 NA NA NA NA NA NA NA 9835 1184 NA NA NA NA NA NA
1566079200.0 134.813 NA 155 61 0 NA NA NA NA NA NA 274 118 0 NA NA NA NA NA NA 978 234 442 NA NA NA NA NA NA 1424 500 1020 NA NA NA NA NA
1566079200.0 135.12 321 0 132 NA NA NA NA NA NA 555 0 220 NA NA NA NA NA NA 2476 329 1100 NA NA NA NA NA NA 3708 663 1565 NA NA NA NA NA NA
1566079200.0 135.3 256 0 120 NA NA NA NA NA NA 698 0 211 NA NA NA NA NA NA 1087 302 1009 NA NA NA NA NA NA 4322 1291 3070 NA NA NA NA NA NA
1566079200.0 135.6 338 0 132 NA NA NA NA NA NA 701 0 205 NA NA NA NA NA NA 1503 528 1260 NA NA NA NA NA NA 1810 1134 1748 NA NA NA NA NA NA
1566079200.0 135.8 149 NA NA NA NA NA NA NA NA 259 NA NA NA NA NA NA NA NA 535 NA NA NA NA NA NA NA NA 1368 NA NA NA NA NA NA NA NA
1566079200.0 136.733 NA 188 73 0 NA NA NA NA NA NA 303 133 0 NA NA NA NA NA NA 1366 490 658 NA NA NA NA NA NA 2046 748 1306 NA NA NA NA NA
1566079200.0 136.736 NA 79 355 0 NA NA NA NA NA NA 161 561 0 NA NA NA NA NA NA 651 11663 893 NA NA NA NA NA NA 1857 12090 2521 NA NA NA NA NA
1566079200.0 136.753 NA 79 352 0 NA NA NA NA NA NA 157 556 0 NA NA NA NA NA NA 634 12582 1083 NA NA NA NA NA NA 1810 12715 2833 NA NA NA NA NA
1566079200.0 136.754 NA 83 360 0 NA NA NA NA NA NA 171 539 0 NA NA NA NA NA NA 660 10793 1129 NA NA NA NA NA NA 2166 10872 2041 NA NA NA NA NA
1566079200.0 136.761 NA 96 384 0 NA NA NA NA NA NA 162 594 0 NA NA NA NA NA NA 768 23905 1007 NA NA NA NA NA NA 2087 13933 1536 NA NA NA NA NA
1566079200.0 136.7611 NA 174 0 NA NA NA NA NA NA NA 288 0 NA NA NA NA NA NA NA 5552 200 NA NA NA NA NA NA NA 9615 1131 NA NA NA NA NA NA
1566079200.0 136.7721 NA 171 0 NA NA NA NA NA NA NA 282 0 NA NA NA NA NA NA NA 6784 180 NA NA NA NA NA NA NA 10358 446 NA NA NA NA NA NA
1566079200.0 136.7722 NA 174 0 NA NA NA NA NA NA NA 277 0 NA NA NA NA NA NA NA 5875 191 NA NA NA NA NA NA NA 11070 1121 NA NA NA NA NA NA
