Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1566079200.0 1.0 75 95 186 NA NA 281 502 658 NA NA 1009 482 1217 NA NA 1249 1304 1495 NA NA
1566079200.0 10.0 NA 129 287 0 NA NA 579 777 0 NA NA 2282 3690 552 NA NA 1286 3049 707 NA
1566079200.0 1001.2 NA 366 127 0 NA NA 826 296 0 NA NA 15016 1888 132 NA NA 7067 3692 237 NA
1566079200.0 1002.0 NA 286 72 NA NA NA 765 190 NA NA NA 3228 390 NA NA NA 2252 515 NA NA
1566079200.0 10024.1 NA 212 185 0 NA NA 634 438 0 NA NA 2800 946 366 NA NA 1652 1030 581 NA
1566079200.0 10024.2 NA 214 376 0 NA NA 649 818 0 NA NA 2847 2419 1083 NA NA 1096 3244 1295 NA
1566079200.0 10024.3 NA 213 175 0 NA NA 643 437 0 NA NA 2806 922 324 NA NA 1096 1125 517 NA
1566079200.0 10024.5 NA 213 83 0 NA NA 630 319 0 NA NA 2936 554 151 NA NA 2225 993 290 NA
1566079200.0 1003.0 NA 267 0 NA NA NA 720 0 NA NA NA 3528 626 NA NA NA 2077 697 NA NA
1566079200.0 101.0 78 NA NA NA NA 271 NA NA NA NA 919 NA NA NA NA 1733 NA NA NA NA
1566079200.0 1010.0 NA 24 35 0 NA NA 153 173 0 NA NA 129 214 146 NA NA 525 624 354 NA
1566079200.0 102.0 81 NA NA NA NA 272 NA NA NA NA 798 NA NA NA NA 1062 NA NA NA NA
1566079200.0 103.0 34 0 0 NA NA 167 0 0 NA NA 408 229 1524 NA NA 550 603 2643 NA NA
1566079200.0 1040.0 NA 335 28 0 NA NA 841 140 0 NA NA 12457 230 132 NA NA 5958 782 375 NA
1566079200.0 1040.1 NA 62 23 0 NA NA 227 141 0 NA NA 411 176 137 NA NA 992 583 377 NA
1566079200.0 10424.0 NA 170 372 0 NA NA 587 792 0 NA NA 1205 2332 1103 NA NA 1102 3362 1231 NA
1566079200.0 105.0 77 100 24 NA NA 276 565 145 NA NA 980 513 117 NA NA 1546 1164 345 NA NA
1566079200.0 106.0 32 0 0 NA NA 166 0 0 NA NA 404 235 1523 NA NA 561 658 1769 NA NA
1566079200.0 108.0 76 107 274 NA NA 273 573 756 NA NA 2986 549 1991 NA NA 2019 545 2669 NA NA
1566079200.0 10824.1 NA 210 187 0 NA NA 620 445 0 NA NA 2669 962 366 NA NA 1336 1325 446 NA
1566079200.0 10824.5 NA 211 86 0 NA NA 671 325 0 NA NA 2833 535 153 NA NA 1338 741 264 NA
1566079200.0 109.0 75 108 280 NA NA 280 489 748 NA NA 3002 550 2003 NA NA 1711 1391 2722 NA NA
1566079200.0 110.0 59 100 253 NA NA 207 488 720 NA NA 622 506 1753 NA NA 2640 893 2927 NA NA
1566079200.0 111.0 70 104 264 NA NA 279 497 735 NA NA 1168 431 1762 NA NA 1822 1187 2539 NA NA
1566079200.0 112.0 84 105 266 NA NA 286 560 765 NA NA 1853 523 1801 NA NA 1213 743 2739 NA NA
1566079200.0 11224.0 NA 172 379 0 NA NA 644 836 0 NA NA 1230 2449 1107 NA NA 916 2751 1402 NA
1566079200.0 11224.6 NA 171 373 0 NA NA 619 848 0 NA NA 1272 2449 1107 NA NA 1241 3074 1399 NA
1566079200.0 113.0 84 105 258 NA NA 293 507 729 NA NA 2120 532 1847 NA NA 1965 905 2346 NA NA
1566079200.0 114.0 82 103 262 NA NA 280 547 730 NA NA 1849 527 1840 NA NA 1296 1281 2034 NA NA
1566079200.0 115.0 78 104 266 NA NA 290 590 686 NA NA 2425 545 1853 NA NA 1965 744 2407 NA NA
1566079200.0 11634.0 NA 260 401 0 88 NA 796 820 0 233 NA 2445 2895 2197 884 NA 3529 4216 2962 1528
1566079200.0 11640.0 NA 236 377 0 79 NA 764 826 0 221 NA 2303 2562 2248 885 NA 2482 3357 2682 1204
1566079200.0 11646.0 NA 252 392 0 88 NA 826 826 0 228 NA 2479 2653 2206 866 NA 2892 3343 2987 960
1566079200.0 11650.0 NA 256 394 0 87 NA 737 824 0 248 NA 2494 2686 2221 834 NA 3134 4156 2832 993
1566079200.0 118.0 84 110 273 NA NA 296 580 745 NA NA 3286 574 2019 NA NA 1977 536 2288 NA NA
1566079200.0 119.0 80 102 265 NA NA 288 541 742 NA NA 1623 517 1758 NA NA 1277 678 1946 NA NA
