Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1566079200.0 1.0 69 95 185 NA NA NA NA 181 413 536 NA NA NA NA 1025 524 1518 NA NA NA NA 1046 986 1602 NA NA NA NA
1566079200.0 10.0 NA 141 312 0 NA NA NA NA 471 643 0 NA NA NA NA 2834 4077 1015 NA NA NA NA 2282 2881 1342 NA NA NA
1566079200.0 1001.2 NA 361 129 0 NA NA NA NA 753 211 0 NA NA NA NA 16808 2318 165 NA NA NA NA 8016 2245 231 NA NA NA
1566079200.0 1002.0 NA 284 72 NA NA NA NA NA 600 140 NA NA NA NA NA 3554 621 NA NA NA NA NA 2606 463 NA NA NA NA
1566079200.0 10024.1 NA 215 186 0 NA NA NA NA 566 321 0 NA NA NA NA 2740 1108 719 NA NA NA NA 1017 1058 762 NA NA NA
1566079200.0 10024.2 NA 224 393 0 NA NA NA NA 536 779 0 NA NA NA NA 2678 2860 1394 NA NA NA NA 1743 3561 1614 NA NA NA
1566079200.0 10024.4 NA 224 392 0 NA NA NA NA 538 684 0 NA NA NA NA 3436 3044 1349 NA NA NA NA 2247 3648 1506 NA NA NA
1566079200.0 10024.5 NA 214 86 0 NA NA NA NA 576 226 0 NA NA NA NA 2648 558 154 NA NA NA NA 969 650 188 NA NA NA
1566079200.0 1003.0 NA 264 0 NA NA NA NA NA 615 0 NA NA NA NA NA 3720 718 NA NA NA NA NA 2174 821 NA NA NA NA
1566079200.0 1004.0 NA 210 91 0 0 0 0 NA 342 161 0 0 0 0 NA 1092 489 89 165 732 738 NA 1063 464 128 201 759 771
1566079200.0 101.0 76 NA NA NA NA NA NA 172 NA NA NA NA NA NA 866 NA NA NA NA NA NA 1752 NA NA NA NA NA NA
1566079200.0 1010.0 NA 25 36 0 NA NA NA NA 88 101 0 NA NA NA NA 159 252 211 NA NA NA NA 826 608 386 NA NA NA
1566079200.0 102.0 78 NA NA NA NA NA NA 172 NA NA NA NA NA NA 763 NA NA NA NA NA NA 1523 NA NA NA NA NA NA
1566079200.0 1020.0 NA 38 21 0 44 NA NA NA 147 74 0 147 NA NA NA 323 112 78 342 NA NA NA 436 149 104 422 NA NA
