Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1566205200.0 1325.5 NA 166 0 NA NA 283 0 NA NA 4679 181 NA NA 6299 1024 NA
1566205200.0 1329.1 NA 170 0 NA NA 312 0 NA NA 5353 157 NA NA 6357 951 NA
1566205200.0 136.7611 NA 181 0 NA NA 306 0 NA NA 5352 174 NA NA 6415 852 NA
1566205200.0 136.7721 NA 177 0 NA NA 302 0 NA NA 4983 169 NA NA 6439 319 NA
1566205200.0 136.7722 NA 154 0 NA NA 273 0 NA NA 5122 156 NA NA 6262 882 NA
1566205200.0 136.867 NA 107 451 0 NA 176 756 0 NA 651 19790 985 NA 1086 9167 1369
1566205200.0 140.56 NA 653 0 NA NA 1217 0 NA NA 21633 663 NA NA 9349 931 NA
1566205200.0 514.0 14 34 0 NA 63 91 0 NA 381 226 165 NA 1779 758 614 NA
1566205200.0 519.0 14 36 0 NA 62 90 0 NA 640 210 159 NA 1763 608 571 NA
1566205200.0 523.0 14 45 0 NA 62 104 0 NA 1075 237 153 NA 4800 598 1055 NA
1566205200.0 524.0 14 40 0 NA 62 91 0 NA 874 240 157 NA 1396 856 595 NA
1566205200.0 525.0 14 35 0 NA 63 90 0 NA 644 227 157 NA 1762 719 590 NA
1566205200.0 530.0 14 33 0 NA 62 92 0 NA 883 235 159 NA 1543 927 567 NA
1566205200.0 535.0 35 0 NA NA 93 0 NA NA 698 155 NA NA 2273 575 NA NA
1566205200.0 552.0 14 34 0 NA 62 91 0 NA 881 231 161 NA 1715 966 574 NA
1566205200.0 555.0 14 38 0 NA 63 89 0 NA 1277 226 159 NA 4801 1191 1058 NA
1566205200.0 562.0 14 39 0 NA 63 89 0 NA 344 203 160 NA 1480 583 599 NA
