Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1566162000.0 10001.0 NA 214 360 0 70 NA NA NA 608 758 0 130 NA NA NA 3122 3874 1905 802 NA NA NA 1809 4942 3136 1110 NA NA
1566162000.0 10002.0 NA 209 363 0 70 NA NA NA 562 728 0 126 NA NA NA 3331 3758 1760 574 NA NA NA 2305 4767 2336 719 NA NA
1566162000.0 10003.0 NA 208 367 0 70 NA NA NA 607 718 0 130 NA NA NA 3130 3784 1675 702 NA NA NA 1504 5065 1974 796 NA NA
1566162000.0 10004.0 NA 205 364 0 70 NA NA NA 564 745 0 130 NA NA NA 3422 3541 1846 851 NA NA NA 2353 4785 2513 1393 NA NA
1566162000.0 10009.0 NA 208 373 0 71 NA NA NA 562 681 0 125 NA NA NA 3221 3325 1842 599 NA NA NA 2022 3897 2461 796 NA NA
1566162000.0 10023.0 NA 208 365 0 70 NA NA NA 606 664 0 125 NA NA NA 3115 3457 1772 488 NA NA NA 2460 5035 2463 824 NA NA
1566162000.0 10024.2 NA 217 378 0 NA NA NA NA 608 689 0 NA NA NA NA 3201 3731 1682 NA NA NA NA 1939 3645 2135 NA NA NA
1566162000.0 10024.4 NA 216 390 0 NA NA NA NA 563 770 0 NA NA NA NA 3221 3674 1797 NA NA NA NA 2179 4719 2691 NA NA NA
1566162000.0 1004.0 NA 223 90 0 0 0 0 NA 332 146 0 0 0 0 NA 807 340 87 103 264 219 NA 1585 807 274 192 729 321
1566162000.0 10071.0 NA 218 376 0 78 NA NA NA 560 681 0 128 NA NA NA 3256 4220 1557 524 NA NA NA 2035 4637 1792 820 NA NA
1566162000.0 101.0 82 NA NA NA NA NA NA 149 NA NA NA NA NA NA 892 NA NA NA NA NA NA 1604 NA NA NA NA NA NA
1566162000.0 1010.0 NA 22 35 0 NA NA NA NA 82 93 0 NA NA NA NA 151 217 142 NA NA NA NA 614 711 363 NA NA NA
1566162000.0 102.0 92 NA NA NA NA NA NA 162 NA NA NA NA NA NA 787 NA NA NA NA NA NA 1517 NA NA NA NA NA NA
1566162000.0 1020.0 NA 70 19 0 69 NA NA NA 138 70 0 142 NA NA NA 289 116 69 304 NA NA NA 859 303 183 1243 NA NA
1566162000.0 1040.0 NA 361 28 0 NA NA NA NA 750 73 0 NA NA NA NA 12148 143 122 NA NA NA NA 5785 498 205 NA NA NA
1566162000.0 1040.1 NA 63 26 0 NA NA NA NA 135 73 0 NA NA NA NA 393 162 136 NA NA NA NA 949 791 357 NA NA NA
