Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1566162000.0 1325.5 NA 165 0 NA 279 0 NA 4656 181 NA 5884 901
1566162000.0 1329.1 NA 187 0 NA 315 0 NA 5128 153 NA 6497 980
1566162000.0 136.7721 NA 174 0 NA 314 0 NA 4986 175 NA 6703 952
1566162000.0 136.7722 NA 151 0 NA 271 0 NA 5183 156 NA 7456 557
1566162000.0 136.8311 NA 186 0 NA 306 0 NA 2089 156 NA 2628 334
1566162000.0 513.0 16 37 0 60 91 0 592 196 222 2197 734 1130
1566162000.0 516.0 16 38 0 60 91 0 706 248 142 2450 1211 425
1566162000.0 519.0 16 36 0 60 90 0 553 197 221 1239 825 1105
1566162000.0 521.0 16 40 0 60 89 0 578 216 139 1716 671 693
1566162000.0 523.0 14 42 0 60 100 0 1081 244 157 4152 977 671
1566162000.0 525.0 16 34 0 60 91 0 659 283 183 2076 1399 611
1566162000.0 528.0 16 37 0 60 91 0 583 210 222 1814 842 1122
1566162000.0 554.0 15 42 0 60 91 0 1591 245 146 2212 985 535
